Label,RID,SITE,AGE,PTEDUCAT,APOE4,FDG,PIB,AV45,CDRSB,ADAS11,ADAS13,MMSE,RAVLT_immediate,RAVLT_learning,RAVLT_forgetting,RAVLT_perc_forgetting,FAQ,MOCA,EcogPtMem,EcogPtLang,EcogPtVisspat,EcogPtPlan,EcogPtOrgan,EcogPtDivatt,EcogPtTotal,EcogSPMem,EcogSPLang,EcogSPVisspat,EcogSPPlan,EcogSPOrgan,EcogSPDivatt,EcogSPTotal,Ventricles,Hippocampus,WholeBrain,Entorhinal,Fusiform,MidTemp,ICV,CDRSB_bl,ADAS11_bl,ADAS13_bl,MMSE_bl,RAVLT_immediate_bl,RAVLT_learning_bl,RAVLT_forgetting_bl,RAVLT_perc_forgetting_bl,FAQ_bl,Ventricles_bl,Hippocampus_bl,WholeBrain_bl,Entorhinal_bl,Fusiform_bl,MidTemp_bl,ICV_bl,MOCA_bl,EcogPtMem_bl,EcogPtLang_bl,EcogPtVisspat_bl,EcogPtPlan_bl,EcogPtOrgan_bl,EcogPtDivatt_bl,EcogPtTotal_bl,EcogSPMem_bl,EcogSPLang_bl,EcogSPVisspat_bl,EcogSPPlan_bl,EcogSPOrgan_bl,EcogSPDivatt_bl,EcogSPTotal_bl,FDG_bl,PIB_bl,AV45_bl,Years_bl,Month_bl,Month,M
EcogSPLang,-0.070609201,-0.039513341,0.058226017,-0.092731788,0.25804194,-0.493792142,,0.335322497,0.720828807,0.622035266,0.639686104,-0.593001759,-0.533434976,-0.404862833,0.064981252,0.233673048,0.751725086,-0.585972344,0.300712843,0.286131914,0.30214916,0.318883669,0.256747126,0.206386941,0.334281032,0.807792718,1,0.815899426,0.828312882,0.782940391,0.80314937,0.916441248,0.2697976,-0.381215593,-0.12644738,-0.336525519,-0.310706418,-0.305666236,0.096068344,0.549231564,0.490586679,0.526542435,-0.411340308,-0.433969276,-0.359211579,0.109851154,0.360714072,0.550139641,0.193059544,-0.338817393,-0.085943846,-0.295107871,-0.245768,-0.242044313,0.109716424,-0.503091853,0.289781471,0.269518178,0.249862401,0.290771544,0.219061201,0.197330404,0.30966997,0.676733701,0.799930224,0.610803484,0.632688295,0.590026632,0.639503608,0.753088487,-0.41595461,0.190534069,0.388464527,0.093984975,0.093984966,0.093876445,0.095495344
EcogSPVisspat,-0.079085051,-0.045839974,0.072077341,-0.103114699,0.266192754,-0.522796544,,0.342513171,0.798271689,0.665047675,0.68475093,-0.659478053,-0.525090636,-0.418387028,0.062636232,0.240175907,0.858519894,-0.624827075,0.2544906,0.169522104,0.327530159,0.28417763,0.228277214,0.161853816,0.278808355,0.805509016,0.815899426,1,0.873827855,0.83905161,0.796833657,0.920794834,0.242238706,-0.437192775,-0.225324338,-0.400791825,-0.377947575,-0.375365285,0.007056439,0.576760237,0.496091743,0.534514965,-0.43568211,-0.41828572,-0.378675262,0.133702979,0.389198019,0.610238701,0.16681533,-0.388623147,-0.165761419,-0.345720181,-0.294990198,-0.281481547,0.035021981,-0.496599092,0.245100465,0.15601578,0.291525151,0.262370277,0.198492594,0.151870331,0.25811682,0.678001819,0.623070783,0.772534389,0.671131137,0.635095016,0.619384576,0.748281378,-0.429888131,0.111246449,0.385184537,0.133670801,0.133670822,0.133529838,0.134887806
EcogSPPlan,-0.080290012,-0.028695962,0.062195178,-0.11243526,0.260360939,-0.489013165,,0.332878656,0.772776682,0.631189404,0.650288915,-0.619784231,-0.516901225,-0.415269067,0.073629164,0.247745603,0.830829558,-0.587784073,0.260311605,0.167370657,0.261414189,0.300842942,0.239467609,0.154384461,0.270668052,0.831867817,0.828312882,0.873827855,1,0.87658881,0.845617916,0.9379907,0.245753547,-0.43832714,-0.17176679,-0.383816448,-0.312210418,-0.315931527,0.055819892,0.580429872,0.485575783,0.524448181,-0.419631768,-0.418808018,-0.373879418,0.12860264,0.381344463,0.615479916,0.173044099,-0.386348612,-0.118793681,-0.324047659,-0.241545845,-0.241584436,0.075547777,-0.48429811,0.267427275,0.155886919,0.245573317,0.287773437,0.21700372,0.158806979,0.263050186,0.718312808,0.661587025,0.683985949,0.779511106,0.701646455,0.687867487,0.789333862,-0.40900518,0.071555211,0.38246027,0.110693092,0.110693088,0.110434147,0.112329302
EcogSPOrgan,-0.071279535,-0.025264613,0.07175525,-0.083044561,0.258784291,-0.506027016,,0.358518856,0.758051774,0.626459262,0.649011259,-0.615678671,-0.525169342,-0.432211736,0.065962196,0.249092023,0.83426618,-0.589927926,0.273467507,0.170708186,0.265354962,0.293452414,0.31141459,0.173875549,0.289883898,0.834251064,0.782940391,0.83905161,0.87658881,1,0.85721032,0.927346742,0.256382665,-0.426328171,-0.166639152,-0.38269543,-0.328981995,-0.315933637,0.058723162,0.58260909,0.484728154,0.523824258,-0.421614076,-0.421862269,-0.39015811,0.120858541,0.385962405,0.628957519,0.189581426,-0.377710454,-0.12238757,-0.316011544,-0.257706496,-0.238775548,0.070913836,-0.48218052,0.282218734,0.170062474,0.247507712,0.286209841,0.288995592,0.178940463,0.286082011,0.714433279,0.630163635,0.65498246,0.69904899,0.795941082,0.705537,0.782964525,-0.425025833,0.015416381,0.378925258,0.10182441,0.101824408,0.101109461,0.102818043
EcogSPDivatt,-0.062539088,-0.0278201,0.054242713,-0.091975405,0.260139485,-0.456280857,,0.330796215,0.697088473,0.574424456,0.598594535,-0.555612721,-0.500263714,-0.397237713,0.097335989,0.255014685,0.755393615,-0.538397257,0.321085161,0.232854147,0.277993419,0.32285231,0.28461819,0.254842103,0.332798712,0.833080408,0.80314937,0.796833657,0.845617916,0.85721032,1,0.913557914,0.258158744,-0.379081747,-0.119365748,-0.334803352,-0.280096684,-0.271661917,0.085824584,0.573104321,0.458252821,0.500106418,-0.39410347,-0.405360554,-0.361340544,0.139838178,0.377408824,0.579121999,0.192896735,-0.339882035,-0.083507842,-0.274511101,-0.224354004,-0.209113174,0.089805567,-0.453351987,0.31169582,0.219402134,0.242241863,0.302925292,0.259927642,0.256037231,0.316269644,0.706339562,0.643214132,0.611994293,0.660787281,0.676594349,0.780196345,0.762134025,-0.388204656,0.117170019,0.366641129,0.092889747,0.092889751,0.092598266,0.09454905
EcogSPTotal,-0.073497374,-0.037755505,0.069862116,-0.105111529,0.293826924,-0.546543196,,0.386318191,0.805559972,0.682183873,0.708018954,-0.659098327,-0.581872203,-0.466669298,0.096006114,0.282426852,0.864504157,-0.643573616,0.327915974,0.222942011,0.312534681,0.331466814,0.283136103,0.202850994,0.332409917,0.931379529,0.916441248,0.920794834,0.9379907,0.927346742,0.913557914,1,0.279526563,-0.466276089,-0.173477267,-0.412561479,-0.347497063,-0.345363705,0.068131754,0.62256272,0.534426914,0.578844724,-0.455744381,-0.467442735,-0.411613285,0.153772599,0.429478053,0.642484407,0.200654032,-0.412352787,-0.1246158,-0.345320321,-0.273583252,-0.264450182,0.082090137,-0.539498554,0.324792393,0.210220219,0.27912131,0.313149324,0.252265451,0.204545977,0.317161719,0.795878941,0.736051353,0.714363474,0.739682629,0.729423946,0.736341908,0.839745697,-0.452593749,0.114691865,0.431821112,0.107356987,0.107356991,0.107041363,0.109100526
Ventricles,-0.135880823,-0.015092455,0.327686538,0.036512863,0.028277868,-0.407142939,0.172060312,0.186625439,0.310368407,0.31343116,0.329096893,-0.282786521,-0.332885832,-0.244366289,0.045455691,0.224296625,0.309054326,-0.288966082,0.058573299,0.086699247,0.073318266,0.129915447,0.110367298,0.048426411,0.095524134,0.258394184,0.2697976,0.242238706,0.245753547,0.256382665,0.258158744,0.279526563,1,-0.312079503,0.039987083,-0.172276641,-0.129381539,-0.074729378,0.516736796,0.243876824,0.287890595,0.299476622,-0.247642069,-0.307549224,-0.199597478,0.079506693,0.229937392,0.252467019,0.97736625,-0.291774801,0.073627294,-0.141160347,-0.092708134,-0.022934712,0.519451541,-0.272336421,0.0794275,0.120016673,0.059682726,0.150312675,0.113307957,0.038502813,0.111504548,0.210747092,0.204768991,0.15815869,0.158316506,0.142111118,0.189421437,0.203984208,-0.380304302,0.300804696,0.185995868,0.06011385,0.060113835,0.05980319,0.060061836
Hippocampus,0.186203422,0.023125735,-0.36248203,0.14062993,-0.227799032,0.465070712,-0.439680522,-0.340664879,-0.503968909,-0.507110689,-0.543064461,0.487683704,0.464250823,0.395252519,-0.145625953,-0.427903212,-0.491569765,0.482179286,-0.174346932,-0.075482156,-0.16835068,-0.143300183,-0.098420734,-0.019578953,-0.138477762,-0.482048591,-0.381215593,-0.437192775,-0.43832714,-0.426328171,-0.379081747,-0.466276089,-0.312079503,1,0.588808356,0.689561667,0.549851103,0.61888943,0.204988028,-0.415661213,-0.468868788,-0.505883378,0.443939094,0.424004443,0.369298995,-0.174122601,-0.426705067,-0.398390423,-0.267362616,0.96408271,0.553304338,0.641745006,0.499625313,0.564854135,0.206896312,0.456510092,-0.198362593,-0.102296956,-0.192471741,-0.133767162,-0.119375585,-0.03952933,-0.165330437,-0.429493457,-0.311454591,-0.346586335,-0.343362651,-0.323817866,-0.291717861,-0.388532183,0.415473634,-0.069876658,-0.359518897,-0.094951623,-0.094951616,-0.095128574,-0.095103227
WholeBrain,0.225048927,0.007267002,-0.299103335,0.184302455,-0.030573547,0.259009098,-0.165060948,-0.134235154,-0.254446561,-0.244450282,-0.251456811,0.255669313,0.171203414,0.118191094,0.007455946,-0.121022189,-0.249439866,0.248898393,0.010447542,-0.023131033,-0.09474468,-0.01185879,0.001933531,0.036429995,-0.017972916,-0.158391476,-0.12644738,-0.225324338,-0.17176679,-0.166639152,-0.119365748,-0.173477267,0.039987083,0.588808356,1,0.494633768,0.717866694,0.750642767,0.709923711,-0.172927087,-0.186534797,-0.200825841,0.190049978,0.143268305,0.111951985,-0.002896967,-0.116786609,-0.174592085,0.086852608,0.567864709,0.976690201,0.476020785,0.709513063,0.728058407,0.71134591,0.234902268,-0.011653608,-0.064468695,-0.135716187,-0.022399769,-0.033988265,0.014769163,-0.053061968,-0.120632074,-0.069749995,-0.16682679,-0.105161524,-0.09765224,-0.061084419,-0.113954844,0.204656964,0.173078336,-0.155598019,-0.135679303,-0.135679315,-0.135502997,-0.135281019
Entorhinal,0.146263437,0.067936428,-0.186842812,0.173224372,-0.230857412,0.384544781,-0.353282132,-0.29439248,-0.487053761,-0.495693491,-0.518089991,0.46648695,0.407926844,0.354442584,-0.121155783,-0.383777281,-0.462244967,0.408787363,-0.119922772,-0.051402826,-0.135421812,-0.094047746,-0.049021827,0.001519554,-0.093314947,-0.418345378,-0.336525519,-0.400791825,-0.383816448,-0.38269543,-0.334803352,-0.412561479,-0.172276641,0.689561667,0.494633768,1,0.545401025,0.523992902,0.213745436,-0.403023762,-0.457963616,-0.48827037,0.412682945,0.365470213,0.335546647,-0.136828391,-0.369888155,-0.368973788,-0.128301857,0.663943064,0.468188671,0.891993175,0.507280451,0.48280637,0.216034055,0.344142962,-0.133841699,-0.064957961,-0.137446638,-0.086989029,-0.060364561,0.011287728,-0.104268088,-0.354843795,-0.28476882,-0.323057817,-0.305756504,-0.314855653,-0.271502511,-0.347984122,0.351230893,0.020628435,-0.324122876,-0.054226431,-0.054226427,-0.054195321,-0.053832128
