Label,RID,SITE,AGE,PTEDUCAT,APOE4,FDG,PIB,AV45,CDRSB,ADAS11,ADAS13,MMSE,RAVLT_immediate,RAVLT_learning,RAVLT_forgetting,RAVLT_perc_forgetting,FAQ,MOCA,EcogPtMem,EcogPtLang,EcogPtVisspat,EcogPtPlan,EcogPtOrgan,EcogPtDivatt,EcogPtTotal,EcogSPMem,EcogSPLang,EcogSPVisspat,EcogSPPlan,EcogSPOrgan,EcogSPDivatt,EcogSPTotal,Ventricles,Hippocampus,WholeBrain,Entorhinal,Fusiform,MidTemp,ICV,CDRSB_bl,ADAS11_bl,ADAS13_bl,MMSE_bl,RAVLT_immediate_bl,RAVLT_learning_bl,RAVLT_forgetting_bl,RAVLT_perc_forgetting_bl,FAQ_bl,Ventricles_bl,Hippocampus_bl,WholeBrain_bl,Entorhinal_bl,Fusiform_bl,MidTemp_bl,ICV_bl,MOCA_bl,EcogPtMem_bl,EcogPtLang_bl,EcogPtVisspat_bl,EcogPtPlan_bl,EcogPtOrgan_bl,EcogPtDivatt_bl,EcogPtTotal_bl,EcogSPMem_bl,EcogSPLang_bl,EcogSPVisspat_bl,EcogSPPlan_bl,EcogSPOrgan_bl,EcogSPDivatt_bl,EcogSPTotal_bl,FDG_bl,PIB_bl,AV45_bl,Years_bl,Month_bl,Month,M
Fusiform,0.295550665,0.046894911,-0.252639574,0.178804721,-0.116865734,0.402998984,-0.242948397,-0.212293376,-0.39713262,-0.409611617,-0.41837594,0.4117984,0.31238597,0.23254765,-0.002112225,-0.223508071,-0.395529339,0.38266708,-0.054842017,-0.095446567,-0.143230756,-0.077981738,-0.066632123,-0.014843533,-0.092615256,-0.311463921,-0.310706418,-0.377947575,-0.312210418,-0.328981995,-0.280096684,-0.347497063,-0.129381539,0.549851103,0.717866694,0.545401025,1,0.704533491,0.371283376,-0.299135433,-0.326807671,-0.344713317,0.336230704,0.260571749,0.20232697,-0.028898374,-0.213610707,-0.30002174,-0.078747669,0.520604472,0.685945684,0.52523941,0.957983354,0.665187111,0.376769024,0.323724155,-0.063901563,-0.11656724,-0.1492332,-0.067345685,-0.056591729,-0.002443396,-0.098597036,-0.252885063,-0.2438445,-0.283735491,-0.217290354,-0.21425312,-0.211449453,-0.266301974,0.36236572,0.120950439,-0.2601838,-0.089912152,-0.089912145,-0.0893307,-0.089505766
MidTemp,0.214182664,0.011375623,-0.215073095,0.166816609,-0.124570293,0.456165207,-0.327254298,-0.247004801,-0.437060236,-0.457260847,-0.461799735,0.440922612,0.342586989,0.255933142,-0.009709416,-0.255058842,-0.426917381,0.412277758,-0.043604279,-0.065277744,-0.133783454,-0.066237405,-0.034993821,0.002950904,-0.070826172,-0.313670698,-0.305666236,-0.375365285,-0.315931527,-0.315933637,-0.271661917,-0.345363705,-0.074729378,0.61888943,0.750642767,0.523992902,0.704533491,1,0.430272177,-0.335953904,-0.376357127,-0.393523546,0.351375189,0.292014951,0.226380719,-0.038566494,-0.239176547,-0.329514986,-0.025727578,0.590278134,0.718720441,0.485206184,0.666204503,0.955446016,0.434200871,0.388449577,-0.061202412,-0.085833132,-0.149375469,-0.050061207,-0.014158076,0.009191565,-0.078833179,-0.268982706,-0.252129529,-0.291073588,-0.228532265,-0.224614153,-0.195875364,-0.276447316,0.404094414,0.056763393,-0.308076585,-0.103455414,-0.103455414,-0.103466815,-0.10363463
ICV,-0.162900746,-0.000539937,0.023134605,0.16419048,0.012494242,-0.100824653,-0.057918649,-0.007915505,0.042537405,0.064890201,0.077197518,-0.035700427,-0.139503686,-0.112762061,0.02358468,0.088889913,0.062275156,-0.008877391,0.036036126,0.020994535,-0.039946394,0.071681331,0.065846097,0.050219899,0.035548268,0.057942589,0.096068344,0.007056439,0.055819892,0.058723162,0.085824584,0.068131754,0.516736796,0.204988028,0.709923711,0.213745436,0.371283376,0.430272177,1,0.033397872,0.075222472,0.079443559,-0.044496619,-0.137572395,-0.09244932,0.038381141,0.0900772,0.052975966,0.524689009,0.218295077,0.735899107,0.246387887,0.408963962,0.465980635,0.98987486,0.023965758,0.028669754,0.00390984,-0.069537095,0.059422911,0.026795039,0.036574456,0.014211572,0.04060173,0.082713737,-0.024756126,0.027859109,0.02453351,0.052810011,0.043401712,-0.101685378,0.290716082,0.011833337,0.008192299,0.008192277,0.00714465,0.007296479
CDRSB_bl,0.062622796,-0.051659191,0.019111615,-0.129833742,0.268304585,-0.509879636,0.167542088,0.329679377,0.669351144,0.599268949,0.620125679,-0.570427847,-0.52304149,-0.419408675,0.065773096,0.319300483,0.674260187,-0.532120916,0.262012899,0.191668118,0.265806013,0.262316068,0.209762623,0.169097389,0.269254234,0.598162719,0.549231564,0.576760237,0.580429872,0.58260909,0.573104321,0.62256272,0.243876824,-0.415661213,-0.172927087,-0.403023762,-0.299135433,-0.335953904,0.033397872,1,0.687699928,0.705440227,-0.684744726,-0.542106198,-0.443453678,0.105357183,0.475197966,0.799543522,0.235592022,-0.4125646,-0.165820595,-0.395483289,-0.26005315,-0.31666743,0.017450651,-0.63275299,0.291930456,0.224567431,0.300096355,0.309870137,0.244640136,0.197203729,0.31145833,0.698140195,0.622747402,0.694738311,0.682875367,0.670099065,0.643184324,0.751289635,-0.512314603,0.258123062,0.383237551,-0.196731272,-0.196731283,-0.196940027,-0.196285753
ADAS11_bl,0.012842427,-0.050280311,0.094523794,-0.140332872,0.279692233,-0.540762005,0.289765828,0.353096498,0.578604409,0.761472589,0.776755847,-0.640370468,-0.668890959,-0.497304076,0.077337767,0.384573339,0.590279811,-0.644739438,0.206156966,0.159377009,0.220606754,0.216848663,0.156690308,0.094962233,0.211681054,0.531219055,0.490586679,0.496091743,0.485575783,0.484728154,0.458252821,0.534426914,0.287890595,-0.468868788,-0.186534797,-0.457963616,-0.326807671,-0.376357127,0.075222472,0.687699928,1,0.970666976,-0.683577279,-0.699437651,-0.548677299,0.141449448,0.567226281,0.627338752,0.265362484,-0.463013242,-0.156235643,-0.441219818,-0.272786014,-0.338222775,0.064429181,-0.729906321,0.236704383,0.184872718,0.241126501,0.243981875,0.18904471,0.097899165,0.243354935,0.568233585,0.520157241,0.521854689,0.49358313,0.497546933,0.458288582,0.58211739,-0.540871706,0.330013884,0.4348157,-0.164784811,-0.164784808,-0.165131084,-0.164173042
ADAS13_bl,-0.001037086,-0.062231565,0.116862562,-0.156406309,0.303358069,-0.568687172,0.3266365,0.375441891,0.609634902,0.778034161,0.817419182,-0.664643796,-0.722680562,-0.55601334,0.112116504,0.421211851,0.622795893,-0.679451292,0.236699984,0.174465559,0.24489472,0.244675154,0.184301282,0.117541868,0.24018257,0.580234528,0.526542435,0.534514965,0.524448181,0.523824258,0.500106418,0.578844724,0.299476622,-0.505883378,-0.200825841,-0.48827037,-0.344713317,-0.393523546,0.079443559,0.705440227,0.970666976,1,-0.707749083,-0.750485147,-0.603942164,0.182358772,0.624037723,0.642709413,0.276565769,-0.493510076,-0.165486095,-0.466442812,-0.279418363,-0.343091286,0.071132221,-0.751127327,0.270322671,0.200299691,0.267815473,0.272378123,0.214779173,0.125294979,0.273797645,0.604186352,0.537344582,0.53854268,0.513725244,0.523871558,0.487325009,0.609838704,-0.560605719,0.294526205,0.46003368,-0.164055544,-0.164055549,-0.164387144,-0.163347736
MMSE_bl,0.012506755,0.050576962,-0.116484452,0.202173238,-0.253287377,0.481296706,-0.153505609,-0.303628435,-0.533463739,-0.595430713,-0.620468471,0.652220851,0.539494963,0.425563501,-0.041146125,-0.314078797,-0.534519616,0.556732707,-0.180610788,-0.159679327,-0.210493948,-0.200121619,-0.15286086,-0.095727573,-0.198624433,-0.444623488,-0.411340308,-0.43568211,-0.419631768,-0.421614076,-0.39410347,-0.455744381,-0.247642069,0.443939094,0.190049978,0.412682945,0.336230704,0.351375189,-0.044496619,-0.684744726,-0.683577279,-0.707749083,1,0.568873858,0.464895123,-0.085117246,-0.469935434,-0.596197572,-0.237683069,0.43734858,0.173388118,0.402871375,0.294317797,0.332350556,-0.029113888,0.670279617,-0.226385307,-0.208330861,-0.250826329,-0.250516294,-0.211104484,-0.116624216,-0.253733625,-0.491958073,-0.456631319,-0.488480987,-0.472111296,-0.461485428,-0.440179364,-0.527282898,0.488871833,-0.108202865,-0.37621615,0.154930726,0.154930741,0.15525622,0.154992257
RAVLT_immediate_bl,0.069564791,0.073476642,-0.182715648,0.172459773,-0.243176128,0.45524506,-0.2245721,-0.31393539,-0.489705573,-0.619740177,-0.67240297,0.539146814,0.832306092,0.576901465,-0.152198045,-0.434880429,-0.496169969,0.600930618,-0.189078263,-0.175185773,-0.190745493,-0.22897961,-0.149787821,-0.092176877,-0.20528515,-0.472915156,-0.433969276,-0.41828572,-0.418808018,-0.421862269,-0.405360554,-0.467442735,-0.307549224,0.424004443,0.143268305,0.365470213,0.260571749,0.292014951,-0.137572395,-0.542106198,-0.699437651,-0.750485147,0.568873858,1,0.636350395,-0.207240857,-0.662018282,-0.492501622,-0.279955009,0.394654534,0.103417183,0.330322109,0.183182078,0.242078084,-0.126786872,0.675234216,-0.210590584,-0.190882167,-0.207864897,-0.264157959,-0.174059499,-0.089749139,-0.228803376,-0.479567028,-0.431115668,-0.412735484,-0.388453112,-0.416056159,-0.393328474,-0.479959161,0.429615645,-0.453116312,-0.377769024,0.116409517,0.11640952,0.117146501,0.115489377
RAVLT_learning_bl,0.056558188,0.044070367,-0.093233296,0.119497098,-0.244291027,0.367221281,-0.225053076,-0.246965844,-0.415684753,-0.492512968,-0.540403441,0.438921402,0.568657897,0.623788915,-0.115223696,-0.36546594,-0.430385554,0.43707493,-0.153595701,-0.090109189,-0.146081652,-0.168882679,-0.130694149,-0.10010271,-0.154848651,-0.413982538,-0.359211579,-0.378675262,-0.373879418,-0.39015811,-0.361340544,-0.411613285,-0.199597478,0.369298995,0.111951985,0.335546647,0.20232697,0.226380719,-0.09244932,-0.443453678,-0.548677299,-0.603942164,0.464895123,0.636350395,1,-0.015995475,-0.499577511,-0.420015643,-0.168671527,0.350815231,0.089874231,0.309952043,0.158674273,0.201715283,-0.076269275,0.47612462,-0.146013742,-0.074138416,-0.145900163,-0.145835791,-0.132777646,-0.086818944,-0.14431306,-0.434004227,-0.362307783,-0.36082694,-0.368915144,-0.387781334,-0.338028776,-0.42927821,0.360059885,-0.332512581,-0.286311079,0.088736714,0.088736751,0.0896378,0.088451748
RAVLT_forgetting_bl,0.027239005,-0.045391348,-0.007114072,-0.034147794,0.119730369,-0.063123792,0.150620939,0.132581607,0.103387189,0.11977249,0.165931185,-0.101070531,-0.225271267,-0.170508867,0.426800678,0.267515325,0.105501306,-0.178695747,0.115525868,0.009068312,0.060477242,0.048641772,0.026795484,0.023177844,0.059901141,0.203281759,0.109851154,0.133702979,0.12860264,0.120858541,0.139838178,0.153772599,0.079506693,-0.174122601,-0.002896967,-0.136828391,-0.028898374,-0.038566494,0.038381141,0.105357183,0.141449448,0.182358772,-0.085117246,-0.207240857,-0.015995475,1,0.763565534,0.082537019,0.080415308,-0.176565543,0.009947437,-0.123764079,-0.002025747,-0.012425479,0.040167646,-0.14645804,0.162682573,-0.008549296,0.065600018,0.041225004,0.019356822,0.022743729,0.067147614,0.211198374,0.089012736,0.10830666,0.081929967,0.122099561,0.131457868,0.144077536,-0.05374177,-0.021227152,0.135311032,-0.026452788,-0.026452791,-0.026607125,-0.026337923
RAVLT_perc_forgetting_bl,-0.003014814,-0.07944703,0.070280902,-0.118095398,0.269126587,-0.360856149,0.313131624,0.306838046,0.424271139,0.50145273,0.558778474,-0.451430416,-0.607797401,-0.513243768,0.342285629,0.468955216,0.438212728,-0.482998624,0.180782326,0.069884586,0.134126633,0.142990903,0.094486685,0.057277889,0.137921246,0.467812626,0.360714072,0.389198019,0.381344463,0.385962405,0.377408824,0.429478053,0.229937392,-0.426705067,-0.116786609,-0.369888155,-0.213610707,-0.239176547,0.0900772,0.475197966,0.567226281,0.624037723,-0.469935434,-0.662018282,-0.499577511,0.763565534,1,0.435616071,0.208792688,-0.413138111,-0.088297317,-0.333050452,-0.15577259,-0.196268831,0.078616538,-0.534837602,0.228842334,0.070362962,0.148275273,0.155611903,0.103622342,0.062113892,0.159711334,0.503554746,0.366518185,0.386294534,0.365295551,0.410664924,0.38557152,0.460606055,-0.341581813,0.295557279,0.359880272,-0.109249091,-0.109249102,-0.109768056,-0.108916665
FAQ_bl,0.018062327,-0.041101722,0.066044653,-0.094089136,0.208618125,-0.493381247,0.148801898,0.30272312,0.618581596,0.570116752,0.585450358,-0.534362502,-0.475455649,-0.388333808,0.041569139,0.291510129,0.747793738,-0.501074166,0.203478302,0.120204655,0.211590576,0.217116533,0.186945001,0.117528492,0.206871392,0.599949844,0.550139641,0.610238701,0.615479916,0.628957519,0.579121999,0.642484407,0.252467019,-0.398390423,-0.174592085,-0.368973788,-0.30002174,-0.329514986,0.052975966,0.799543522,0.627338752,0.642709413,-0.596197572,-0.492501622,-0.420015643,0.082537019,0.435616071,1,0.245416854,-0.384636275,-0.157309423,-0.344479458,-0.255470854,-0.305545191,0.046535435,-0.567776332,0.22416723,0.136163126,0.267829672,0.256855876,0.238214537,0.120503876,0.242783185,0.72676,0.639190008,0.754700762,0.753248096,0.754654835,0.676791012,0.800786463,-0.494439096,0.274141897,0.362617879,-0.161434233,-0.161434252,-0.161761805,-0.160858687
Ventricles_bl,-0.064518155,-0.014976274,0.3222851,0.066925103,0.009753008,-0.355781778,0.168456625,0.142581116,0.213335699,0.229799466,0.253361928,-0.194647694,-0.288302858,-0.206203274,0.057755138,0.156895967,0.231523066,-0.209739294,0.059118503,0.077210864,0.063786376,0.101561032,0.098837087,0.050646126,0.086751255,0.194301212,0.193059544,0.16681533,0.173044099,0.189581426,0.192896735,0.200654032,0.97736625,-0.267362616,0.086852608,-0.128301857,-0.078747669,-0.025727578,0.524689009,0.235592022,0.265362484,0.276565769,-0.237683069,-0.279955009,-0.168671527,0.080415308,0.208792688,0.245416854,1,-0.26355368,0.108361234,-0.088174669,-0.04617934,0.020026453,0.525876684,-0.255750898,0.08489192,0.111110935,0.074167686,0.138414891,0.111792217,0.053133209,0.112564684,0.194864465,0.183170243,0.156191373,0.153751053,0.129872153,0.190768394,0.19231546,-0.352599049,0.335325424,0.177974784,-0.061650725,-0.061650758,-0.06211465,-0.061390859
Hippocampus_bl,0.127644121,0.012476134,-0.362789294,0.119415962,-0.226371326,0.432603675,-0.390279074,-0.300938635,-0.426369175,-0.454296397,-0.489403483,0.424744098,0.429060794,0.366836758,-0.133473202,-0.28419053,-0.436545169,0.422816374,-0.156840064,-0.05549074,-0.123075191,-0.107310669,-0.062240642,-0.006851965,-0.107671172,-0.438738359,-0.338817393,-0.388623147,-0.386348612,-0.377710454,-0.339882035,-0.412352787,-0.291774801,0.96408271,0.567864709,0.663943064,0.520604472,0.590278134,0.218295077,-0.4125646,-0.463013242,-0.493510076,0.43734858,0.394654534,0.350815231,-0.176565543,-0.413138111,-0.384636275,-0.26355368,1,0.569736125,0.636661853,0.506108876,0.577621417,0.232544516,0.438926725,-0.217770826,-0.09784978,-0.185948162,-0.10687856,-0.091258341,-0.032995414,-0.159731661,-0.428095702,-0.310164917,-0.335660974,-0.329556277,-0.307701071,-0.299162847,-0.384361555,0.413891776,-0.200108628,-0.359150615,0.059530616,0.059530651,0.059798438,0.059234009
WholeBrain_bl,0.186333258,0.001607284,-0.311998339,0.17764846,-0.016902318,0.224814318,-0.117164581,-0.113156162,-0.185905372,-0.197517328,-0.204495882,0.198490938,0.139768709,0.106500582,0.00859668,-0.075375783,-0.193373087,0.203090837,0.012226865,-0.013551484,-0.07448055,0.003131038,0.009082095,0.038400579,-0.007699851,-0.118874107,-0.085943846,-0.165761419,-0.118793681,-0.12238757,-0.083507842,-0.1246158,0.073627294,0.553304338,0.976690201,0.468188671,0.685945684,0.718720441,0.735899107,-0.165820595,-0.156235643,-0.165486095,0.173388118,0.103417183,0.089874231,0.009947437,-0.088297317,-0.157309423,0.108361234,0.569736125,1,0.464659568,0.713493239,0.741048187,0.744819581,0.219989929,-0.01856129,-0.061239145,-0.133717206,-0.009430418,-0.025931856,0.020282405,-0.04915898,-0.111217332,-0.058543656,-0.151467167,-0.093818289,-0.086595905,-0.0612285,-0.104459437,0.186605149,0.07090617,-0.145336667,-0.005939859,-0.005939853,-0.005925977,-0.005626729
Entorhinal_bl,0.074058672,0.052410468,-0.166319646,0.160405919,-0.226110663,0.363138483,-0.332485045,-0.249831368,-0.399403293,-0.42579793,-0.447417899,0.387563179,0.358090108,0.308137976,-0.097578109,-0.232648285,-0.395447135,0.340543533,-0.115742248,-0.048065159,-0.121241558,-0.067401365,-0.00877789,-0.000738068,-0.078623438,-0.35126637,-0.295107871,-0.345720181,-0.324047659,-0.316011544,-0.274511101,-0.345320321,-0.141160347,0.641745006,0.476020785,0.891993175,0.52523941,0.485206184,0.246387887,-0.395483289,-0.441219818,-0.466442812,0.402871375,0.330322109,0.309952043,-0.123764079,-0.333050452,-0.344479458,-0.088174669,0.636661853,0.464659568,1,0.500696252,0.461640854,0.260344583,0.328835643,-0.136226332,-0.081807458,-0.149244301,-0.091481988,-0.062001209,0.002491839,-0.113881991,-0.336262558,-0.293603948,-0.295560425,-0.299108241,-0.297325882,-0.26434327,-0.336845717,0.322585548,-0.157913487,-0.304777685,0.073996641,0.073996645,0.07412125,0.07413139
Fusiform_bl,0.272228862,0.024531421,-0.271338345,0.175626871,-0.080443801,0.358973401,-0.192690872,-0.183362525,-0.288790797,-0.317612492,-0.323936978,0.309867183,0.234896418,0.179752145,0.017771163,-0.111368772,-0.305736999,0.303558866,-0.049251465,-0.086025792,-0.127672701,-0.067858516,-0.053770001,-0.014980382,-0.082747373,-0.251592206,-0.245768,-0.294990198,-0.241545845,-0.257706496,-0.224354004,-0.273583252,-0.092708134,0.499625313,0.709513063,0.507280451,0.957983354,0.666204503,0.408963962,-0.26005315,-0.272786014,-0.279418363,0.294317797,0.183182078,0.158674273,-0.002025747,-0.15577259,-0.255470854,-0.04617934,0.506108876,0.713493239,0.500696252,1,0.651746667,0.413482926,0.315863615,-0.088704984,-0.140386623,-0.16213601,-0.074768736,-0.056395614,-0.011559506,-0.115831721,-0.242271266,-0.243305024,-0.255985822,-0.206507332,-0.200741699,-0.204608506,-0.257391258,0.323861043,0.046768418,-0.247320983,-0.015649766,-0.015649755,-0.015377146,-0.015310334
MidTemp_bl,0.142143764,-0.017204054,-0.227508205,0.164932207,-0.088137101,0.388652002,-0.278227422,-0.204156989,-0.324834768,-0.36171599,-0.370416916,0.332601405,0.279758281,0.217414405,-0.004686604,-0.149300725,-0.333731762,0.317426111,-0.037441478,-0.063839117,-0.120484566,-0.05859317,-0.03906766,0.008848014,-0.065327351,-0.247638445,-0.242044313,-0.281481547,-0.241584436,-0.238775548,-0.209113174,-0.264450182,-0.022934712,0.564854135,0.728058407,0.48280637,0.665187111,0.955446016,0.465980635,-0.31666743,-0.338222775,-0.343091286,0.332350556,0.242078084,0.201715283,-0.012425479,-0.196268831,-0.305545191,0.020026453,0.577621417,0.741048187,0.461640854,0.651746667,1,0.484055611,0.387877951,-0.075229501,-0.107118212,-0.174703596,-0.063061149,-0.032854994,-0.001392939,-0.099719053,-0.252820314,-0.255280625,-0.260573061,-0.213650998,-0.205447866,-0.199152362,-0.264933685,0.371993294,0.032031588,-0.27440041,0.048161366,0.048161366,0.048883403,0.048580121
ICV_bl,-0.161116323,0.004935546,0.012392158,0.167409024,0.002744591,-0.091019122,-0.041949883,-0.024103802,0.042483484,0.047512494,0.059295032,-0.023842346,-0.125000284,-0.091230073,0.026357432,0.063780618,0.05834245,-0.00197568,0.03299505,0.026469941,-0.022320375,0.085643038,0.072005271,0.050767476,0.042574972,0.066019134,0.109716424,0.035021981,0.075547777,0.070913836,0.089805567,0.082090137,0.519451541,0.206896312,0.71134591,0.216034055,0.376769024,0.434200871,0.98987486,0.017450651,0.064429181,0.071132221,-0.029113888,-0.126786872,-0.076269275,0.040167646,0.078616538,0.046535435,0.525876684,0.232544516,0.744819581,0.260344583,0.413482926,0.484055611,1,0.022732184,0.023458939,0.003396523,-0.069758364,0.068197889,0.042560192,0.042315877,0.017297414,0.044285096,0.089977166,-0.018585034,0.034870988,0.035595066,0.055991076,0.050338817,-0.086605459,0.257994615,0.003885901,0.050420491,0.050420476,0.049773991,0.050773675
MOCA_bl,-0.122357785,0.040347257,-0.200185423,0.191717987,-0.200850425,0.538823004,,-0.313058273,-0.580362907,-0.666402371,-0.69181662,0.62986037,0.631589331,0.467585836,-0.117817635,-0.272056426,-0.559687767,0.789505205,-0.19771953,-0.189675469,-0.228350668,-0.249662997,-0.210237897,-0.099794483,-0.23300634,-0.522029634,-0.503091853,-0.496599092,-0.48429811,-0.48218052,-0.453351987,-0.539498554,-0.272336421,0.456510092,0.234902268,0.344142962,0.323724155,0.388449577,0.023965758,-0.63275299,-0.729906321,-0.751127327,0.670279617,0.675234216,0.47612462,-0.14645804,-0.534837602,-0.567776332,-0.255750898,0.438926725,0.219989929,0.328835643,0.315863615,0.387877951,0.022732184,1,-0.228583351,-0.219655426,-0.256032674,-0.27980969,-0.243495622,-0.137042699,-0.272246452,-0.528575436,-0.501672811,-0.486214107,-0.450399788,-0.449871134,-0.423409847,-0.541058719,0.52707113,,-0.343407594,0.075033535,0.075033533,0.074704167,0.07365116
EcogPtMem_bl,-0.069344875,0.010205856,-0.057686965,-0.032207123,0.215222682,-0.165484927,,0.213703145,0.255364867,0.222199276,0.252831479,-0.224960889,-0.218598185,-0.188862933,0.123609656,0.13113361,0.224883397,-0.236764332,0.749491876,0.540641113,0.491097456,0.504638513,0.462045672,0.525917903,0.670776131,0.365961392,0.289781471,0.245100465,0.267427275,0.282218734,0.31169582,0.324792393,0.0794275,-0.198362593,-0.011653608,-0.133841699,-0.063901563,-0.061202412,0.028669754,0.291930456,0.236704383,0.270322671,-0.226385307,-0.210590584,-0.146013742,0.162682573,0.228842334,0.22416723,0.08489192,-0.217770826,-0.01856129,-0.136226332,-0.088704984,-0.075229501,0.023458939,-0.228583351,1,0.657998707,0.615483898,0.614428561,0.560460134,0.645575896,0.847637948,0.407632319,0.333003973,0.257197226,0.277523462,0.299709657,0.334645608,0.363834881,-0.141750931,,0.221342551,0.008908168,0.008908176,0.008297849,0.010754968
EcogPtLang_bl,-0.057201117,0.021337606,0.040518386,-0.087471707,0.075749054,-0.108088811,,0.096503248,0.174480491,0.162450582,0.175405784,-0.158603598,-0.181246096,-0.091332704,0.0131556,0.049534757,0.125226907,-0.195500812,0.535383193,0.748700758,0.506680037,0.527492809,0.490745651,0.534050655,0.678449159,0.181880952,0.269518178,0.15601578,0.155886919,0.170062474,0.219402134,0.210220219,0.120016673,-0.102296956,-0.064468695,-0.064957961,-0.11656724,-0.085833132,0.00390984,0.224567431,0.184872718,0.200299691,-0.208330861,-0.190882167,-0.074138416,-0.008549296,0.070362962,0.136163126,0.111110935,-0.09784978,-0.061239145,-0.081807458,-0.140386623,-0.107118212,0.003396523,-0.219655426,0.657998707,1,0.649504017,0.669465964,0.616098502,0.659687777,0.869604874,0.215214051,0.330780932,0.190904021,0.186944488,0.189828669,0.247858862,0.255877194,-0.094356675,,0.112114453,-0.006855363,-0.006855338,-0.007242662,-0.005643955
EcogPtVisspat_bl,-0.002456296,0.011866377,0.004685568,-0.034891823,0.11120694,-0.168644965,,0.111535422,0.268482199,0.214808933,0.234042879,-0.228331569,-0.200391336,-0.154453694,0.054250094,0.075474693,0.248781285,-0.260522176,0.48149873,0.489160402,0.686282182,0.53926819,0.470503601,0.470437046,0.611749606,0.258218391,0.249862401,0.291525151,0.245573317,0.247507712,0.242241863,0.27912131,0.059682726,-0.192471741,-0.135716187,-0.137446638,-0.1492332,-0.149375469,-0.069537095,0.300096355,0.241126501,0.267815473,-0.250826329,-0.207864897,-0.145900163,0.065600018,0.148275273,0.267829672,0.074167686,-0.185948162,-0.133717206,-0.149244301,-0.16213601,-0.174703596,-0.069758364,-0.256032674,0.615483898,0.649504017,1,0.722728395,0.642000098,0.625933826,0.831309307,0.29060228,0.28033659,0.348935014,0.282332929,0.280386239,0.280589522,0.32506594,-0.149652986,,0.135006987,-0.021946012,-0.021946011,-0.022460681,-0.020780748
EcogPtPlan_bl,-0.023733355,0.026951552,0.020589442,-0.080140306,0.127456359,-0.158390752,,0.106239456,0.287619562,0.22305703,0.244303858,-0.214076025,-0.244822081,-0.165729361,0.049398095,0.088402049,0.250439046,-0.25311919,0.503453906,0.526435553,0.547041732,0.704654244,0.559867793,0.517126342,0.647512858,0.295984172,0.290771544,0.262370277,0.287773437,0.286209841,0.302925292,0.313149324,0.150312675,-0.133767162,-0.022399769,-0.086989029,-0.067345685,-0.050061207,0.059422911,0.309870137,0.243981875,0.272378123,-0.250516294,-0.264157959,-0.145835791,0.041225004,0.155611903,0.256855876,0.138414891,-0.10687856,-0.009430418,-0.091481988,-0.074768736,-0.063061149,0.068197889,-0.27980969,0.614428561,0.669465964,0.722728395,1,0.724005037,0.672613785,0.844311611,0.330553912,0.318816923,0.26583151,0.316980587,0.3072721,0.331287753,0.349240602,-0.138255636,,0.117762705,-0.012099293,-0.012099287,-0.012971858,-0.01057747
EcogPtOrgan_bl,-0.029594089,0.020108112,0.031525254,-0.018263393,0.061730966,-0.116966262,,0.077556182,0.20191535,0.150679028,0.169730208,-0.156748113,-0.151170872,-0.113192961,0.026624195,0.058175428,0.181315083,-0.186415002,0.452395402,0.47598192,0.474587553,0.539960758,0.729641129,0.507519081,0.615208087,0.225231919,0.219061201,0.198492594,0.21700372,0.288995592,0.259927642,0.252265451,0.113307957,-0.119375585,-0.033988265,-0.060364561,-0.056591729,-0.014158076,0.026795039,0.244640136,0.18904471,0.214779173,-0.211104484,-0.174059499,-0.132777646,0.019356822,0.103622342,0.238214537,0.111792217,-0.091258341,-0.025931856,-0.062001209,-0.056395614,-0.032854994,0.042560192,-0.243495622,0.560460134,0.616098502,0.642000098,0.724005037,1,0.638630695,0.809446154,0.278683773,0.258837994,0.243090973,0.254003402,0.338555856,0.300119643,0.310488357,-0.11376831,,0.072296234,-0.012088882,-0.012088881,-0.012604958,-0.011978422
EcogPtDivatt_bl,-0.058484875,0.031943895,-0.082072886,0.010212769,0.108102624,-0.084286329,,0.072764833,0.150898303,0.100379917,0.117116266,-0.105898216,-0.095055688,-0.080184585,0.038813764,0.039100508,0.112248244,-0.126305183,0.531921131,0.54837737,0.482356078,0.543632938,0.519494565,0.736427242,0.654611649,0.198389093,0.197330404,0.151870331,0.158806979,0.178940463,0.256037231,0.204545977,0.038502813,-0.03952933,0.014769163,0.011287728,-0.002443396,0.009191565,0.036574456,0.197203729,0.097899165,0.125294979,-0.116624216,-0.089749139,-0.086818944,0.022743729,0.062113892,0.120503876,0.053133209,-0.032995414,0.020282405,0.002491839,-0.011559506,-0.001392939,0.042315877,-0.137042699,0.645575896,0.659687777,0.625933826,0.672613785,0.638630695,1,0.820584023,0.23938453,0.234022266,0.173745653,0.188032122,0.210236334,0.289952585,0.248315843,-0.059197043,,0.075354321,-0.002766423,-0.002766423,-0.003965979,-0.001586821
